Buses Bio Bio,7:00,7:40,0:40,40,$3.000,
Buses Bio Bio,7:30,8:10,0:40,40,$3.000,
Buses Bio Bio,8:00,8:40,0:40,40,$3.000,
Buses Bio Bio,8:30,9:10,0:40,40,$3.000,
Buses Bio Bio,9:00,9:40,0:40,40,$3.000,
Buses Bio Bio,9:30,10:10,0:40,40,$3.000,
Buses Bio Bio,10:00,10:40,0:40,40,$3.000,
Buses Bio Bio,10:30,11:10,0:40,40,$3.000,
Buses Bio Bio,11:00,11:40,0:40,40,$3.000,
Buses Bio Bio,10:40,12:10,0:40,40,$3.000,
Buses Bio Bio,12:00,12:40,0:40,40,$3.000,
Buses Bio Bio,12:30,13:10,0:40,40,$3.000,
Buses Bio Bio,13:00,13:40,0:40,40,$3.000,
Buses Bio Bio,13:30,14:10,0:40,40,$3.000,
Buses Bio Bio,14:00,14:40,0:40,40,$3.000,
Buses Bio Bio,14:30,15:10,0:40,40,$3.000,
Buses Bio Bio,15:00,15:40,0:40,40,$3.000,
Buses Bio Bio,15:30,16:10,0:40,40,$3.000,
Buses Bio Bio,16:00,16:40,0:40,40,$3.000,
Buses Bio Bio,16:30,17:10,0:40,40,$3.000,
Buses Bio Bio,17:00,17:40,0:40,40,$3.000,
Buses Bio Bio,17:30,18:10,0:40,40,$3.000,
Buses Bio Bio,18:00,18:40,0:40,40,$3.000,
Buses Bio Bio,18:30,19:10,0:40,40,$3.000,
Buses Bio Bio,19:00,19:40,0:40,40,$3.000,
Buses Bio Bio,19:30,20:10,0:40,40,$3.000,
Buses Bio Bio,20:00,20:40,0:40,40,$3.000,
